| Item | Cost | Qty (based on source) | Source |
| :--- | :--- | :--- | :--- |
| 3D Printer & Filament | N/A | N/A | N/A |
| Soldering Iron & Solder | N/A | N/A | N/A |
| Ultrasonic Sensor HC-SR04P | 0.99 | 1 | [eBay](https://www.ebay.com/itm/224296297852?chn=ps&mkevt=1&mkcid=28&var=523085780822&google_free_listing_action=view_item&srsltid=AfmBOoopyobSgpQJHMEKTDsR7Dsf_T9_SurQE0cArFCE0bUjY-D7oCdzo94) |
| Micro Limit Switch KW11-3Z | 1.87 (10pcs) | 1 | [eBay](https://www.ebay.com/itm/395841651252?chn=ps&_trkparms=ispr%3D1&amdata=enc%3A1M8J_Id7cQyaw8m04ReJYzQ43&norover=1&mkevt=1&mkrid=711-117182-37290-0&mkcid=2&mkscid=101&itemid=395841651252&targetid=2321110923541&device=c&mktype=pla_with_promotion&googleloc=9004379&poi=&campaignid=21399214465&mkgroupid=173029507868&rlsatarget=pla-2321110923541&abcId=9447223&merchantid=5461707888&gad_source=1&gad_campaignid=21399214465&gbraid=0AAAAAD_QDh-w9ghSYcr-7lyH2miXWSZa7&gclid=Cj0KCQjwlLDQBhDjARIsAPlIefHw-w21yH3r6qKdxy2J5vZY6H0LO2egmuzhfyFo_rIkYkRWBr1VVmEaAv0mEALw_wcB) |
| TCRT5000 IR Reflective Sensor Modules | 1.23 (2pcs) | 1 | [eBay](https://www.ebay.com/itm/222654074111?chn=ps&mkcid=28&google_free_listing_action=view_item&srsltid=AfmBOorYWi_ZdONvezkyeNmYRSfA4A01FDrMwOoVEhp9hJ1D0lcA69MVaE) |
| Mini Omni Wheel 38mm (3mm D-shaft Hubs) | N/A | 1-2 | N/A |
| N20 Micro Gear Motors 6V | 12.50 | 2 | [Oz Robotics](https://ozrobotics.com/shop/premium-12mm-dc-n20-gear-motor-6v-10001-ratio-15-rpm/?srsltid=AfmBOooNv44zz_1C64JMOv39tEQDs4f6NOi4ycA4Ii4SlRLPoHAFFMI00tc) |
| N20 Motor Mounting Brackets | N/A | 2 | N/A |
| Silicone Brushes | N/A | N/A | N/A |
| ESP32-S3 DevKitC-1 N8R8 | 5.85 | 1 | [eBay](https://www.ebay.com/itm/316517622133?chn=ps&var=615055369283&_trkparms=ispr%3D1&amdata=enc%3A1z8MnHb5wQe-RnSicgF5RMg39&norover=1&mkevt=1&mkrid=711-117182-37290-0&mkcid=2&mkscid=101&itemid=615055369283_316517622133&targetid=2321110924501&device=c&mktype=pla&googleloc=9004379&poi=&campaignid=21399214465&mkgroupid=173029507868&rlsatarget=pla-2321110924501&abcId=9447223&merchantid=101638797&gad_source=4&gad_campaignid=21399214465&gbraid=0AAAAAD_QDh9RqkIP9u-ntI5AbZe9S-pHf&gclid=Cj0KCQjwlLDQBhDjARIsAPlIefFDFsZQIOGdF-ejx-6y3pMBMvvgYdazYz1Hzh3y5GbpP90sZU14NoEaApEkEALw_wcB) |
| TB6612FNG | 2.69 | 1 | [eBay](https://www.ebay.com/itm/198048260446?chn=ps&norover=1&mkevt=1&mkrid=711-117182-37290-0&mkcid=2&mkscid=101&itemid=198048260446&targetid=2321110923781&device=c&mktype=pla&googleloc=9004379&poi=&campaignid=21399214465&mkgroupid=173029507868&rlsatarget=pla-2321110923781&abcId=9447223&merchantid=5715503226&gad_source=4&gad_campaignid=21399214465&gbraid=0AAAAAD_QDh9RqkIP9u-ntI5AbZe9S-pHf&gclid=Cj0KCQjwlLDQBhDjARIsAPlIefGdRtvvJGFJyDUga1xu9Eh6Mvx9fsi2cX9rck-T3CDvwUmb7gZKTvUaAhZ8EALw_wcB) |
